318153 ,317973 ,317986 ,318794 ,318264 ,318509 ,318405 ,318450 ,318423 ,317749 ,317078 ,318384 ,318805 ,319338 ,317757 ,317439 ,318523 ,318197 ,317734 ,317515 ,317614 ,319349 ,317983 ,317986 ,317839 
80535 ,80603 ,80531 ,80529 ,80635 ,80614 ,80559 ,80548 ,80524 ,80530 ,80543 ,80654 ,80548 ,80545 ,80565 ,80571 ,80543 ,80584 ,80569 ,80578 ,80550 ,80550 ,80695 ,80534 ,80594 
64799 ,64854 ,64808 ,64807 ,64580 ,64739 ,64767 ,64642 ,64717 ,64778 ,64774 ,64608 ,64777 ,64698 ,64734 ,64740 ,64706 ,64747 ,64724 ,64893 ,64681 ,64831 ,64685 ,64686 ,64665 
235661 ,235480 ,235661 ,235720 ,235907 ,235907 ,235661 ,235907 ,235825 ,235743 ,236031 ,235785 ,235726 ,235913 ,235621 ,235663 ,235943 ,235602 ,235579 ,235684 ,235415 ,235661 ,235720 ,235825 ,235743 
380901 ,380213 ,380788 ,380955 ,381027 ,380720 ,380251 ,381202 ,381507 ,381167 ,381074 ,380578 ,381326 ,380515 ,380592 ,380933 ,380251 ,380996 ,380495 ,379978 ,380539 ,380735 ,380618 ,380766 ,380997 
138498 ,138443 ,138519 ,138569 ,138388 ,138583 ,138389 ,138448 ,138463 ,138557 ,138733 ,138474 ,138306 ,138554 ,138452 ,138552 ,138474 ,138489 ,138713 ,138595 ,138675 ,138545 ,138419 ,138419 ,138637 
28999 ,29316 ,28995 ,29034 ,29224 ,29157 ,29362 ,29455 ,29362 ,29048 ,29330 ,29298 ,29348 ,29224 ,29483 ,29019 ,29021 ,29132 ,29109 ,29479 ,29389 ,29306 ,29172 ,29325 ,29023 
184062 ,184033 ,184160 ,183930 ,184064 ,184146 ,184092 ,183599 ,183918 ,183888 ,184018 ,183985 ,184014 ,184107 ,184040 ,184019 ,183963 ,183945 ,183934 ,183938 ,184031 ,184101 ,183904 ,184172 ,183876 
571165 ,570784 ,571395 ,571021 ,570695 ,571212 ,571023 ,571160 ,570771 ,568489 ,571673 ,570962 ,570562 ,571749 ,570526 ,571573 ,571615 ,569746 ,569417 ,570292 ,570556 ,571071 ,570838 ,570831 ,570452 
562793 ,562108 ,561580 ,561812 ,561989 ,560915 ,560678 ,561119 ,560458 ,560524 ,561185 ,560997 ,562128 ,562639 ,561088 ,562046 ,562836 ,560672 ,562791 ,561867 ,559967 ,560544 ,561019 ,562144 ,560624 
23572990 ,23517478 ,23511746 ,23556785 ,23632541 ,23620502 ,23563697 ,23454048 ,23606315 ,23579860 ,23599606 ,23514935 ,23515633 ,23519081 ,23654411 ,23480196 ,23557601 ,23530843 ,23522360 ,23531143 ,23535828 ,23541956 ,23535394 ,23613497 ,23626046 
931557 ,932064 ,931974 ,931005 ,932108 ,931761 ,932758 ,932734 ,932895 ,931514 ,931064 ,932358 ,932705 ,932170 ,932469 ,931434 ,931586 ,930831 ,931650 ,931307 ,931840 ,931654 ,933206 ,932045 ,933277 
20160582 ,20175193 ,20169909 ,20161390 ,20176252 ,20169329 ,20163518 ,20173507 ,20152180 ,20165346 ,20163792 ,20173228 ,20186304 ,20192933 ,20154439 ,20198562 ,20180688 ,20192807 ,20154790 ,20174673 ,20166090 ,20146889 ,20149983 ,20173810 ,20185777 
